2025-10-18T22:10:58.839Z | navigation | display_page | {"pathname": "/", "authenticated": true}
2025-10-18T22:11:07.882Z | auth | logout | {"username": "admin"}
2025-10-18T22:11:07.897Z | navigation | display_page | {"pathname": "/", "authenticated": false}
2025-10-18T22:11:13.099Z | ui | toggle_hamburger_menu | {"n_clicks": 1, "previous_display": "none"}
2025-10-18T22:11:13.100Z | ui | hamburger_menu_state | {"new_display": "block"}
2025-10-18T22:11:14.388Z | ui | toggle_propose_relation_modal | {"triggered": "btn-propose-relation", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": null, "was_open": false}
2025-10-18T22:11:23.729Z | ui | toggle_propose_relation_modal | {"triggered": "btn-submit-propose-relation", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": 1, "was_open": true}
2025-10-18T22:11:38.537Z | ui | toggle_login_modal | {"open_clicks": 1, "cancel_clicks": null, "was_open": false}
2025-10-18T22:11:39.794Z | auth | login_attempt | {"username": "admin", "has_password": true}
2025-10-18T22:11:39.797Z | auth | login_success | {"username": "admin"}
2025-10-18T22:11:39.811Z | navigation | display_page | {"pathname": "/", "authenticated": true}
2025-10-18T22:13:43.900Z | auth | logout | {"username": "admin"}
2025-10-18T22:13:43.915Z | navigation | display_page | {"pathname": "/", "authenticated": false}
2025-10-18T22:19:18.062Z | navigation | display_page | {"pathname": "/", "authenticated": false}
2025-10-18T22:19:19.818Z | ui | toggle_hamburger_menu | {"n_clicks": 1, "previous_display": "none"}
2025-10-18T22:19:19.818Z | ui | hamburger_menu_state | {"new_display": "block"}
2025-10-18T22:19:20.967Z | ui | toggle_propose_relation_modal | {"triggered": "btn-propose-relation", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": null, "was_open": false}
2025-10-18T22:19:31.483Z | proposal | propose_relation_start | {"n_clicks": 1, "person1": "Tom Test", "person2": "Dez", "relation_type": 2}
2025-10-18T22:19:31.485Z | ui | toggle_propose_relation_modal | {"triggered": "btn-submit-propose-relation", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": 1, "was_open": true}
2025-10-18T22:19:31.488Z | proposal | propose_relation_submitted | {"submission_id": 9, "person1": "Tom Test", "person2": "Dez", "relation_type": 2, "submitted_by": "anonymous", "created_persons": []}
2025-10-18T22:19:33.645Z | ui | toggle_login_modal | {"open_clicks": 1, "cancel_clicks": null, "was_open": false}
2025-10-18T22:19:34.796Z | auth | login_attempt | {"username": "admin", "has_password": true}
2025-10-18T22:19:34.800Z | auth | login_success | {"username": "admin"}
2025-10-18T22:19:34.812Z | navigation | display_page | {"pathname": "/", "authenticated": true}
2025-10-18T22:19:35.001Z | admin | relation_approval_callback | {"approve_clicks": [null], "reject_clicks": [null]}
2025-10-18T22:19:35.001Z | admin | relation_action | {"action": "approve-relation", "relation_id": 9}
2025-10-18T22:19:35.014Z | admin | relation_approved | {"relation_id": 9, "success": true}
2025-10-18T22:22:26.691Z | auth | logout | {"username": "admin"}
2025-10-18T22:22:26.707Z | navigation | display_page | {"pathname": "/", "authenticated": false}
2025-10-18T22:22:29.228Z | navigation | display_page | {"pathname": "/", "authenticated": false}
2025-10-18T22:22:31.213Z | ui | toggle_hamburger_menu | {"n_clicks": 1, "previous_display": "none"}
2025-10-18T22:22:31.213Z | ui | hamburger_menu_state | {"new_display": "block"}
2025-10-18T22:22:33.598Z | navigation | display_page | {"pathname": "/", "authenticated": false}
2025-10-18T22:22:47.631Z | ui | toggle_hamburger_menu | {"n_clicks": 1, "previous_display": "none"}
2025-10-18T22:22:47.631Z | ui | hamburger_menu_state | {"new_display": "block"}
2025-10-18T22:22:49.042Z | ui | toggle_propose_relation_modal | {"triggered": "btn-propose-relation", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": null, "was_open": false}
2025-10-18T22:22:56.524Z | proposal | propose_relation_start | {"n_clicks": 1, "person1": "Diego", "person2": "Diego Claes", "relation_type": 4}
2025-10-18T22:22:56.525Z | ui | toggle_propose_relation_modal | {"triggered": "btn-submit-propose-relation", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": 1, "was_open": true}
2025-10-18T22:22:56.528Z | proposal | propose_relation_submitted | {"submission_id": 10, "person1": "Diego", "person2": "Diego Claes", "relation_type": 4, "submitted_by": "anonymous", "created_persons": []}
2025-10-18T22:23:03.989Z | ui | toggle_login_modal | {"open_clicks": 1, "cancel_clicks": null, "was_open": false}
2025-10-18T22:23:05.246Z | auth | login_attempt | {"username": "admin", "has_password": true}
2025-10-18T22:23:05.250Z | auth | login_success | {"username": "admin"}
2025-10-18T22:23:05.278Z | navigation | display_page | {"pathname": "/", "authenticated": true}
2025-10-18T22:23:05.537Z | admin | relation_approval_callback | {"approve_clicks": [null], "reject_clicks": [null]}
2025-10-18T22:23:05.537Z | admin | relation_approval_no_real_click | {"approve_clicks": [null], "reject_clicks": [null]}
2025-10-18T22:23:14.376Z | auth | logout | {"username": "admin"}
2025-10-18T22:23:14.388Z | navigation | display_page | {"pathname": "/", "authenticated": false}
2025-10-18T22:23:16.285Z | ui | toggle_hamburger_menu | {"n_clicks": 1, "previous_display": "none"}
2025-10-18T22:23:16.285Z | ui | hamburger_menu_state | {"new_display": "block"}
2025-10-18T22:23:17.148Z | ui | toggle_propose_person_modal | {"triggered": "btn-propose-person", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": null, "was_open": false}
2025-10-18T22:23:21.008Z | ui | toggle_propose_person_modal | {"triggered": "btn-submit-propose-person", "open_clicks": 1, "cancel_clicks": null, "submit_clicks": 1, "was_open": true}
2025-10-18T22:23:22.308Z | ui | toggle_register_modal | {"open_clicks": 1, "cancel_clicks": null, "was_open": false}
2025-10-18T22:23:37.803Z | auth | register_attempt | {"username": "Diego_admin", "has_password": true, "has_confirm": true}
2025-10-18T22:23:37.806Z | auth | register_request_success | {"username": "Diego_admin"}
